brand,model,model_type,price_euros,mileage,manual_automatic,date,fuel,power,year
Land Rover,Range Rover Evoque,2.2L TD4 Prestige 4x4 Aut.,9900,140000,Automático,2014-12-01,Diésel,110 kW (150 CV),2014
SEAT,Ibiza,ST 1.4TDI CR Ecomotive S&S Reference75,3900,306000,Manual,2016-09-01,Diésel,55 kW (75 CV),2016
SEAT,Ibiza,1.6TDI CR Reference Tech,6499,116000,Manual,2014-05-01,Diésel,66 kW (90 CV),2014
BMW,116,116d Efficient Dynamics Edition,10990,10690,Manual,2012-05-01,Diésel,85 kW (116 CV),2012
SsangYong,Rexton,W 200 e-Xdi Premium 4x2,8490,154000,Manual,2015-05-01,Diésel,114 kW (155 CV),2015
Volkswagen,Golf,1.6 Trendline,5500,220000,Manual,2007-02-01,Gasolina,75 kW (102 CV),2007
Citroen,,CITROEN Berlingo M1 Pequeño  Manual de 4 Puertas,6350,187980,Manual,2018-06-01,Diésel,74 kW (101 CV),2018
Opel,Zafira,1.9CDTi Enjoy 120,2990,135199,Manual,2007-02-01,Diésel,88 kW (120 CV),2007
Lancia,Phedra,2.2JTD 16v Platino,5990,140000,Manual,2008-08-01,Diésel,125 kW (170 CV),2008
Toyota,Corolla,Verso 2.2D4D Sport 177,4000,194000,Manual,2007-06-01,Diésel,130 kW (177 CV),2007
Skoda,Fabia,1.9SDi Classic,950,337000,Manual,2000-07-01,Diésel,47 kW (64 CV),2000
Maserati,Ghibli,Diesel Aut. 275,23000,174000,Automático,2014-12-01,Diésel,202 kW (275 CV),2014
BMW,318,318i,2200,182000,Manual,1999-05-01,Gasolina,87 kW (118 CV),1999
Mercedes-Benz,A 180,180CDI,5900,164500,Manual,2011-01-01,Diésel,80 kW (109 CV),2011
Citroen,C4 Cactus,1.6 BlueHDi Shine 100,6590,126350,Manual,2016-06-01,Diésel,73 kW (99 CV),2016
MG,ZS,2.5 V6 Core 180,12990,37000,Manual,2023-05-01,Gasolina,130 kW (177 CV),2023
Audi,TT,Coupé 1.8T 180,2400,292000,Manual,1999-11-01,Gasolina,132 kW (179 CV),1999
Nissan,Almera,1.5dCi Line Up,1990,258000,Manual,2006-04-01,Diésel,60 kW (82 CV),2006
Audi,A5,2.0 TFSI 125kW S tronic g-tron Sportback,16890,89500,Automático,2018-05-01,Gasolina,125 kW (170 CV),2018
Kia,Sportage,1.6 CRDi MHEV Business DCT 4x4 136,22000,800,Automático,2025-01-01,Diésel,100 kW (136 CV),2025
Kia,Sportage,1.6 CRDi MHEV Business DCT 4x4 136,22000,800,Automático,2025-01-01,Diésel,100 kW (136 CV),2025
Nissan,Qashqai,1.5dCi Tekna 4x2 17´´,9590,103700,Manual,2014-06-01,Diésel,81 kW (110 CV),2014
Audi,A3,Sportback 30 TFSI S line S tronic,22690,39836,Automático,2023-04-01,Gasolina,81 kW (110 CV),2023
Mazda,3,1.6CRTD Active,6500,190000,Manual,2011-03-01,Diésel,80 kW (109 CV),2011
CUPRA,Formentor,1.5 TSI 150,21390,33350,Manual,2021-03-01,Gasolina,110 kW (150 CV),2021
